Time, Movement Vector, Movement Magnitude, Left Vector Similarity, Right Vector Similarity
1726000171.090293, [1 0], 1.0, -1.0, 1.0
1726000171.1278822, [-1  1], 1.4142135623730951, 0.7071067811865475, -0.7071067811865475
1726000171.1708896, [ 1 -1], 1.4142135623730951, -0.7071067811865475, 0.7071067811865475
1726000171.217291, [0 1], 1.0, 0.0, 0.0
1726000171.260974, [ 0 -1], 1.0, 0.0, 0.0
1726000171.30898, [0 0], 0.0, 0, 0
1726000171.3540583, [0 1], 1.0, 0.0, 0.0
1726000171.4002035, [0 0], 0.0, 0, 0
1726000171.4481373, [ 0 -1], 1.0, 0.0, 0.0
1726000171.493126, [0 0], 0.0, 0, 0
1726000171.5428228, [-1  1], 1.4142135623730951, 0.7071067811865475, -0.7071067811865475
1726000171.6073987, [1 0], 1.0, -1.0, 1.0
1726000171.6509533, [ 0 -1], 1.0, 0.0, 0.0
1726000171.697399, [0 1], 1.0, 0.0, 0.0
1726000171.7441518, [-1 -1], 1.4142135623730951, 0.7071067811865475, -0.7071067811865475
1726000171.7922468, [0 0], 0.0, 0, 0
1726000171.838269, [0 0], 0.0, 0, 0
1726000171.8846068, [0 0], 0.0, 0, 0
1726000171.9312046, [1 0], 1.0, -1.0, 1.0
1726000171.9782922, [-1  0], 1.0, 1.0, -1.0
1726000172.0179, [0 0], 0.0, 0, 0
1726000172.0583627, [0 0], 0.0, 0, 0
1726000172.1387804, [0 0], 0.0, 0, 0
1726000172.184395, [1 1], 1.4142135623730951, -0.7071067811865475, 0.7071067811865475
1726000172.2323017, [-1 -1], 1.4142135623730951, 0.7071067811865475, -0.7071067811865475
1726000172.2778492, [1 0], 1.0, -1.0, 1.0
1726000172.3265069, [0 1], 1.0, 0.0, 0.0
1726000172.3726246, [ 0 -1], 1.0, 0.0, 0.0
1726000172.4218683, [0 0], 0.0, 0, 0
1726000172.4677687, [0 1], 1.0, 0.0, 0.0
1726000172.50477, [ 0 -1], 1.0, 0.0, 0.0
1726000172.5453298, [0 0], 0.0, 0, 0
1726000172.5962126, [0 0], 0.0, 0, 0
1726000172.642344, [0 1], 1.0, 0.0, 0.0
1726000172.6901097, [ 0 -1], 1.0, 0.0, 0.0
1726000172.7340293, [0 1], 1.0, 0.0, 0.0
1726000172.783301, [ 0 -1], 1.0, 0.0, 0.0
1726000172.8288686, [0 0], 0.0, 0, 0
1726000172.8688638, [-1  0], 1.0, 1.0, -1.0
1726000172.9090059, [1 1], 1.4142135623730951, -0.7071067811865475, 0.7071067811865475
1726000172.9553356, [ 0 -1], 1.0, 0.0, 0.0
1726000173.0036597, [0 1], 1.0, 0.0, 0.0
1726000173.0512736, [ 1 -1], 1.4142135623730951, -0.7071067811865475, 0.7071067811865475
1726000173.098382, [0 1], 1.0, 0.0, 0.0
1726000173.1443658, [1 0], 1.0, -1.0, 1.0
1726000173.191372, [ 1 -1], 1.4142135623730951, -0.7071067811865475, 0.7071067811865475
1726000173.236904, [2 1], 2.23606797749979, -0.8944271909999159, 0.8944271909999159
1726000173.2758746, [ 1 -2], 2.23606797749979, -0.4472135954999579, 0.4472135954999579
1726000173.3169262, [3 2], 3.605551275463989, -0.8320502943378437, 0.8320502943378437
1726000173.363965, [ 1 -1], 1.4142135623730951, -0.7071067811865475, 0.7071067811865475
1726000173.4010246, [11 -1], 11.045361017187261, -0.9958932064677039, 0.9958932064677039
1726000173.4428444, [4 1], 4.123105625617661, -0.9701425001453319, 0.9701425001453319
1726000173.487844, [ 2 -1], 2.23606797749979, -0.8944271909999159, 0.8944271909999159
1726000173.5367534, [4 1], 4.123105625617661, -0.9701425001453319, 0.9701425001453319
1726000173.5737963, [5 0], 5.0, -1.0, 1.0
1726000173.614079, [4 0], 4.0, -1.0, 1.0
1726000173.6626835, [ 4 -1], 4.123105625617661, -0.9701425001453319, 0.9701425001453319
1726000173.7007108, [ 5 -1], 5.0990195135927845, -0.9805806756909202, 0.9805806756909202
1726000173.739243, [5 1], 5.0990195135927845, -0.9805806756909202, 0.9805806756909202
1726000173.7772381, [ 4 -1], 4.123105625617661, -0.9701425001453319, 0.9701425001453319
1726000173.8193705, [6 0], 6.0, -1.0, 1.0
1726000173.8675556, [6 0], 6.0, -1.0, 1.0
1726000173.914048, [23  1], 23.021728866442675, -0.9990561583550596, 0.9990561583550596
1726000173.9595206, [ 7 -1], 7.0710678118654755, -0.9899494936611665, 0.9899494936611665
1726000174.0075788, [5 1], 5.0990195135927845, -0.9805806756909202, 0.9805806756909202
1726000174.0537467, [7 1], 7.0710678118654755, -0.9899494936611665, 0.9899494936611665
1726000174.0997412, [8 1], 8.06225774829855, -0.9922778767136677, 0.9922778767136677
1726000174.1774678, [14  3], 14.317821063276353, -0.9778024140774094, 0.9778024140774094
1726000174.2229905, [8 2], 8.246211251235321, -0.9701425001453319, 0.9701425001453319
1726000175.2538245, [23  0], 23.0, -1.0, 1.0
1726000175.2908654, [-28  -5], 28.442925306655784, 0.984427575508482, -0.984427575508482
1726000175.3347075, [-7 -2], 7.280109889280518, 0.9615239476408232, -0.9615239476408232
1726000175.3774698, [-9 -1], 9.055385138137417, 0.9938837346736188, -0.9938837346736188
1726000175.4243119, [-7 -1], 7.0710678118654755, 0.9899494936611665, -0.9899494936611665
1726000175.4715397, [-9 -1], 9.055385138137417, 0.9938837346736188, -0.9938837346736188
1726000175.5106184, [-8 -1], 8.06225774829855, 0.9922778767136677, -0.9922778767136677
1726000175.5531683, [-8  0], 8.0, 1.0, -1.0
1726000175.646099, [-19  -1], 19.026297590440446, 0.9986178293325098, -0.9986178293325098
1726000175.683093, [-8 -1], 8.06225774829855, 0.9922778767136677, -0.9922778767136677
1726000175.7257283, [-33   0], 33.0, 1.0, -1.0
1726000175.7719233, [-8  0], 8.0, 1.0, -1.0
1726000175.8183193, [-8 -1], 8.06225774829855, 0.9922778767136677, -0.9922778767136677
1726000175.865685, [-9  0], 9.0, 1.0, -1.0
1726000175.9137795, [-8  0], 8.0, 1.0, -1.0
1726000175.9593525, [-7 -1], 7.0710678118654755, 0.9899494936611665, -0.9899494936611665
1726000176.0056746, [-8  0], 8.0, 1.0, -1.0
1726000176.0550342, [-7  1], 7.0710678118654755, 0.9899494936611665, -0.9899494936611665
1726000176.1010635, [-29  -1], 29.017236257093817, 0.9994059993535875, -0.9994059993535875
1726000176.148594, [-7  0], 7.0, 1.0, -1.0
1726000176.1955695, [-7 -2], 7.280109889280518, 0.9615239476408232, -0.9615239476408232
1726000176.2449267, [-6  5], 7.810249675906654, 0.7682212795973759, -0.7682212795973759
1726000176.2829638, [-5 -1], 5.0990195135927845, 0.9805806756909202, -0.9805806756909202
1726000176.326415, [-9 -4], 9.848857801796104, 0.9138115486202573, -0.9138115486202573
1726000176.3644342, [-7  6], 9.219544457292887, 0.7592566023652966, -0.7592566023652966
1726000176.4024432, [-4  1], 4.123105625617661, 0.9701425001453319, -0.9701425001453319
1726000176.4482934, [-6 -1], 6.082762530298219, 0.9863939238321437, -0.9863939238321437
1726000176.5410962, [-29   2], 29.068883707497267, 0.997630328422983, -0.997630328422983
1726000176.5881224, [-5  0], 5.0, 1.0, -1.0
1726000176.7271533, [-15   3], 15.297058540778355, 0.9805806756909201, -0.9805806756909201
