1726000569.4788177, [ 2 -1], 2.23606797749979, [ 1.8 -0.8], 1.969771560359221, Right
1726000569.525899, [2 0], 2.0, [ 1.8 -0.6], 1.8973665961010275, Right
1726000569.5735805, [ 1 -2], 2.23606797749979, [ 1.6 -1. ], 1.886796226411321, Right
1726000569.6193101, [ 1 -1], 1.4142135623730951, [ 1.6 -1. ], 1.886796226411321, Right
1726000569.6667786, [ 3 -8], 8.54400374531753, [ 1.8 -2.4], 3.0, Right
1726000569.7139862, [ 2 -2], 2.8284271247461903, [ 1.8 -2.6], 3.1622776601683795, Right
1726000569.7602174, [ 2 -3], 3.605551275463989, [ 1.8 -3.2], 3.6715119501371642, Right
1726000569.8068488, [ 2 -4], 4.47213595499958, [ 2.  -3.6], 4.1182520563948, Right
1726000569.8530686, [ 3 -2], 3.605551275463989, [ 2.4 -3.8], 4.494441010848846, Right
1726000569.9007223, [ 3 -4], 5.0, [ 2.4 -3. ], 3.8418745424597094, Right
1726000569.9492989, [0 0], 0.0, [ 2.  -2.6], 3.2802438933713454, Right
1726000569.99452, [ 13 -14], 19.1049731745428, [ 4.2 -4.8], 6.37808748764079, Right
1726000570.0432098, [ 2 -5], 5.385164807134504, [ 4.2 -5. ], 6.529931086925803, Right
1726000570.0907478, [0 0], 0.0, [ 3.6 -4.6], 5.841232746604093, Right
1726000570.138152, [ 2 -1], 2.23606797749979, [ 3.4 -4. ], 5.2497618993626745, Right
1726000570.1833642, [2 0], 2.0, [ 3.8 -4. ], 5.517245689653488, Right
1726000570.2299595, [-2  1], 2.23606797749979, [ 0.8 -1. ], 1.2806248474865698, Right
1726000570.2751145, [-2  1], 2.23606797749979, [0.  0.2], 0.2, Center
1726000570.3218503, [-15   7], 16.55294535724685, [-3.   1.6], 3.4, Left
1726000570.3679416, [-2  0], 2.0, [-3.8  1.8], 4.2047592083257275, Left
1726000570.4162107, [-2  2], 2.8284271247461903, [-4.6  2.2], 5.0990195135927845, Left
1726000570.462269, [-3  0], 3.0, [-4.8  2. ], 5.2, Left
1726000570.5095959, [-4  1], 4.123105625617661, [-5.2  2. ], 5.571355310873648, Left
1726000570.5576823, [-2  2], 2.8284271247461903, [-2.6  1. ], 2.785677655436824, Left
1726000570.6042647, [-3  1], 3.1622776601683795, [-2.8  1.2], 3.046309242345563, Left
1726000570.65094, [-11   7], 13.038404810405298, [-4.6  2.2], 5.0990195135927845, Left
1726000570.6975806, [-3 -1], 3.1622776601683795, [-4.6  2. ], 5.015974481593781, Left
1726000570.744271, [-2  1], 2.23606797749979, [-4.2  2. ], 4.651881339845203, Left
1726000570.7918916, [-1  1], 1.4142135623730951, [-4.   1.8], 4.386342439892262, Left
1726000570.8369195, [-1  0], 1.0, [-3.6  1.6], 3.939543120718442, Left
1726000570.8818138, [0 0], 0.0, [-1.4  0.2], 1.414213562373095, Left
1726000570.9283996, [0 0], 0.0, [-0.8  0.4], 0.894427190999916, Left
1726000570.975986, [-1 -1], 1.4142135623730951, [-0.6  0. ], 0.6, Left
1726000571.0226111, [1 1], 1.4142135623730951, [-0.2  0. ], 0.2, Left
1726000571.0626192, [ 1 -1], 1.4142135623730951, [ 0.2 -0.2], 0.28284271247461906, Right
1726000571.104169, [3 0], 3.0, [ 0.8 -0.2], 0.8246211251235323, Right
1726000571.1504138, [ 5 -1], 5.0990195135927845, [ 1.8 -0.4], 1.8439088914585775, Right
1726000571.1974225, [0 0], 0.0, [ 2.  -0.2], 2.009975124224178, Right
1726000571.245211, [ 2 -1], 2.23606797749979, [ 2.2 -0.6], 2.280350850198276, Right
